CUSTID,GENDER,DOB,EDATE,AGE,AGEGRP1,AGEGRP2,TV_REG,NGROUP,NEIGHBORHOOD,LCDATE,ORGANICS,BILL,REGION,CLASS,ORGYN,AFFL,LTIME
0005828139,M,05/12/41,23/02/98,56,40-60,50-60,East,D,27,07/06/91,0,12106.7,Midlands,Gold,0,7,7
0005829747,M,16/07/53,23/02/98,44,40-60,40-50,London,A,03,16/01/91,0,3000,South East,Silver,0,11,8
0005829852,M,05/10/66,23/02/98,31,20-40,30-40,London,F,52,01/10/93,0,0.01,South East,Tin,0,9,5
0005832268,M,24/10/22,23/02/98,75,60-80,70-80,S West,E,45,27/01/87,0,4500,South West,Silver,0,9,12
0005833175,U,12/11/39,23/02/98,,,,London,C,24,05/05/93,0,6000,South East,Gold,0,,5
0005833264,F,03/06/27,23/02/98,70,60-80,70-80,S & S East,C,24,15/09/86,1,9600,South East,Gold,1,10,12
0005833787,M,17/03/20,23/02/98,77,60-80,70-80,N East,B,10,01/02/94,0,6000,North,Gold,0,10,5
0005833884,F,24/02/46,23/02/98,52,40-60,50-60,S & S East,E,37,21/05/93,1,6000,South East,Gold,1,9,5
0005834031,F,03/05/35,23/02/98,62,60-80,60-70,London,A,04,09/01/80,0,8864.21,South East,Gold,0,8,19
0005834635,F,03/10/68,23/02/98,29,20-40,20-30,London,E,44,21/09/93,1,0.01,South East,Tin,1,10,5
0005835038,U,14/07/25,23/02/98,72,60-80,70-80,London,E,44,26/07/94,0,6107.64,South East,Gold,0,10,4
0005835321,,27/05/42,23/02/98,55,40-60,50-60,East,B,12,07/04/94,2,0.01,Midlands,Tin,1,13,4
0005835577,,03/07/33,23/02/98,64,60-80,60-70,London,B,14,10/05/90,0,12000,South East,Gold,0,10,8
0005835879,F,18/01/20,23/02/98,78,60-80,70-80,S & S East,A,04,01/10/90,0,500.01,South East,Silver,0,7,8
0005837170,F,22/03/38,23/02/98,59,40-60,50-60,Wales & West,B,06,18/06/86,0,6053.35,Midlands,Gold,0,11,12
0005837413,F,17/06/54,23/02/98,43,40-60,40-50,S & S East,B,12,21/01/94,0,0.01,South East,Tin,0,8,5
0005859603,,12/02/41,23/02/98,57,40-60,50-60,N East,C,25,03/04/92,0,1000,North,Silver,0,9,6
0005859956,F,14/08/31,23/02/98,66,60-80,60-70,London,B,12,18/08/93,0,3000,South East,Silver,0,9,5
0005861632,F,19/08/35,23/02/98,62,60-80,60-70,Wales & West,E,41,06/11/97,0,2500,Midlands,Silver,0,6,1
0005876575,M,28/01/23,23/02/98,,,,London,B,12,17/02/90,0,6000,South East,Gold,0,5,9
0005877938,F,04/01/63,23/02/98,35,20-40,30-40,Yorkshire,F,52,26/04/94,1,0.01,North,Tin,1,15,4
0005886929,U,18/09/47,23/02/98,50,40-60,50-60,London,B,10,26/10/90,0,480.01,South East,Silver,0,4,8
0005887127,F,17/01/21,23/02/98,77,60-80,70-80,Wales & West,E,37,02/07/96,1,3550,Midlands,Silver,1,7,2
0005889006,F,22/02/32,23/02/98,66,60-80,60-70,S & S East,B,10,09/07/96,0,3000,South East,Silver,0,11,2
0005890012,M,16/04/40,23/02/98,57,40-60,50-60,London,D,27,03/04/92,0,3026.67,South East,Silver,0,12,6
0005890403,U,10/02/51,23/02/98,47,40-60,40-50,S & S East,B,14,13/09/91,0,0.01,South East,Tin,0,5,7
0005891213,,15/10/47,23/02/98,50,40-60,50-60,Wales & West,E,38,08/12/93,0,0.01,Midlands,Tin,0,8,5
0005892120,F,12/10/33,23/02/98,64,60-80,60-70,S & S East,B,12,04/04/91,0,12247.7,South East,Gold,0,10,7
0005892775,F,27/02/21,23/02/98,77,60-80,70-80,S & S East,B,06,19/09/96,0,2325,South East,Silver,0,8,2
0005893682,,31/01/43,23/02/98,55,40-60,50-60,Yorkshire,F,52,01/08/90,2,0.01,North,Tin,1,16,8
0005893925,F,09/10/46,23/02/98,51,40-60,50-60,London,B,14,08/02/93,0,5997.16,South East,Gold,0,8,6
0005893992,F,20/06/33,23/02/98,64,60-80,60-70,N West,C,16,15/04/82,0,6053.35,North,Gold,0,8,16
0005894425,,28/05/30,23/02/98,67,60-80,60-70,London,A,03,04/01/91,0,420,South East,Silver,0,6,8
0005894700,F,01/09/42,23/02/98,55,40-60,50-60,N Scot,C,19,30/01/97,0,10000,Scottish,Gold,0,10,2
0005896193,M,15/01/33,23/02/98,65,60-80,60-70,Midlands,C,18,04/04/96,0,6000,Midlands,Gold,0,5,2
0005896525,F,29/10/41,23/02/98,56,40-60,50-60,Midlands,F,47,30/03/92,0,6053.35,Midlands,Gold,0,,6
0005897947,M,02/04/23,23/02/98,74,60-80,70-80,London,D,32,01/02/90,0,0.01,South East,Tin,0,9,9
0005898722,M,25/05/19,23/02/98,78,60-80,70-80,C Scotland,E,39,15/12/83,1,1000,Scottish,Silver,1,10,15
0005900379,F,23/02/57,23/02/98,,,,Wales & West,E,38,04/06/97,0,2400,Midlands,Silver,0,10,1
0005901197,M,06/08/55,23/02/98,42,40-60,40-50,East,D,34,22/03/94,1,0.01,Midlands,Tin,1,14,4
0005902312,,02/01/41,23/02/98,57,40-60,50-60,East,C,22,17/01/96,0,3000,Midlands,Silver,0,6,3
0005903394,F,14/09/42,23/02/98,55,40-60,50-60,London,D,28,01/07/92,0,1795.46,South East,Silver,0,2,6
0005905117,F,04/03/50,23/02/98,48,40-60,40-50,Midlands,E,37,19/01/94,2,0.01,Midlands,Tin,1,,5
0005906296,F,23/11/22,23/02/98,75,60-80,70-80,S & S East,E,41,02/12/82,0,1000,South East,Silver,0,6,16
0005906725,F,24/08/60,23/02/98,37,20-40,30-40,Wales & West,F,47,05/01/94,0,0.01,Midlands,Tin,0,16,5
0005907071,M,12/09/63,23/02/98,34,20-40,30-40,East,D,34,09/08/94,0,0.01,Midlands,Tin,0,8,4
0005907314,F,07/04/57,23/02/98,40,40-60,40-50,Midlands,E,44,08/01/91,0,500,Midlands,Silver,0,10,8
0005909155,F,18/12/31,23/02/98,66,60-80,60-70,London,E,38,15/02/93,0,1000.01,South East,Silver,0,7,6
0005909244,F,11/09/60,23/02/98,37,20-40,30-40,East,D,30,20/01/94,1,0.01,Midlands,Tin,1,12,5
0005910188,F,05/10/57,23/02/98,40,40-60,40-50,Yorkshire,E,37,31/01/94,0,0.01,North,Tin,0,7,5
0005910498,F,24/07/23,23/02/98,74,60-80,70-80,N West,B,12,04/06/93,0,4000,North,Silver,0,7,5
0005911826,F,27/01/50,23/02/98,48,40-60,40-50,Yorkshire,D,35,16/12/93,0,0.01,North,Tin,0,,5
0005912474,,12/01/28,23/02/98,70,60-80,70-80,S & S East,B,13,17/09/86,0,4170.73,South East,Silver,0,8,12
0005914906,F,24/04/37,23/02/98,60,60-80,60-70,N East,C,25,03/12/86,1,6580.42,North,Gold,1,6,12
0005915759,M,16/03/38,23/02/98,59,40-60,50-60,C Scotland,A,01,02/01/97,0,0.01,Scottish,Tin,0,5,2
0005916526,F,19/05/73,23/02/98,24,20-40,20-30,Wales & West,F,53,29/02/96,1,3000,Midlands,Silver,1,9,2
0005916682,F,13/06/39,23/02/98,,,,London,C,19,01/10/90,1,445,South East,Silver,1,10,8
0005917255,F,15/06/39,23/02/98,58,40-60,50-60,East,E,38,20/09/96,0,1000,Midlands,Silver,0,7,2
0005918413,,04/08/51,23/02/98,46,40-60,40-50,Midlands,A,03,01/01/90,0,1785,Midlands,Silver,0,4,9
0005919746,F,18/01/52,23/02/98,46,40-60,40-50,C Scotland,A,01,27/07/90,2,600,Scottish,Silver,1,9,8
0005920078,,18/03/48,23/02/98,49,40-60,40-50,London,D,33,07/03/89,0,0.01,South East,Tin,0,,9
0005920191,M,20/05/23,23/02/98,74,60-80,70-80,,B,06,19/03/97,0,19215.21,,Gold,0,,1
0005920299,F,15/01/43,23/02/98,55,40-60,50-60,Wales & West,D,35,06/11/93,0,0.01,Midlands,Tin,0,8,5
0005920442,F,22/06/23,23/02/98,,,,Yorkshire,C,23,26/04/96,0,50,North,Silver,0,6,2
0005920760,F,16/05/30,23/02/98,67,60-80,60-70,London,C,24,22/01/76,0,2000,South East,Silver,0,9,23
0005921422,F,28/08/37,23/02/98,60,60-80,60-70,N West,B,10,29/03/94,1,0.01,North,Tin,1,7,4
0005922526,U,03/07/21,23/02/98,76,60-80,70-80,London,E,41,26/03/92,0,12053.35,South East,Gold,0,6,6
0005923697,F,27/12/22,23/02/98,75,60-80,70-80,S & S East,E,44,24/04/96,0,12652.53,South East,Gold,0,7,2
0005927390,M,28/11/68,23/02/98,29,20-40,20-30,Midlands,F,51,15/08/94,0,6107.64,Midlands,Gold,0,,4
0005929563,F,23/09/25,23/02/98,72,60-80,70-80,S & S East,D,30,05/12/90,0,12158.67,South East,Gold,0,5,8
0005929938,M,12/12/55,23/02/98,42,40-60,40-50,London,C,22,01/02/88,0,4200.01,South East,Silver,0,,11
0005930944,F,28/08/53,23/02/98,44,40-60,40-50,Midlands,B,15,03/10/93,0,0.01,Midlands,Tin,0,13,5
0005931274,U,06/04/48,23/02/98,49,40-60,40-50,N West,C,18,01/05/90,0,0.01,North,Tin,0,7,8
0005931509,M,16/12/44,23/02/98,53,40-60,50-60,Midlands,F,49,25/07/95,0,6058.76,Midlands,Gold,0,8,3
0005932300,,13/08/39,23/02/98,58,40-60,50-60,London,D,27,31/01/91,0,9600,South East,Gold,0,10,8
0005938120,F,01/09/36,23/02/98,61,60-80,60-70,S & S East,D,30,01/07/91,1,1500,South East,Silver,1,13,7
0005939062,F,18/02/46,23/02/98,,,,London,A,04,23/11/94,0,5000,South East,Silver,0,12,4
0005945054,F,08/06/55,23/02/98,42,40-60,40-50,S & S East,F,52,10/05/94,0,0.01,South East,Tin,0,8,4
0005945348,F,30/11/45,23/02/98,52,40-60,50-60,Yorkshire,F,53,08/01/91,0,12000,North,Gold,0,4,8
0005945674,M,11/04/67,23/02/98,30,20-40,30-40,London,A,04,28/02/94,1,1000,South East,Silver,1,5,4
0005945852,,07/06/51,23/02/98,46,40-60,40-50,London,B,09,29/04/96,2,6000,South East,Gold,1,19,2
0005946409,,26/04/34,23/02/98,63,60-80,60-70,S West,E,37,07/06/91,0,0.01,South West,Tin,0,12,7
0005949157,F,14/08/30,23/02/98,67,60-80,60-70,East,B,11,02/07/96,0,12000,Midlands,Gold,0,11,2
0005956528,M,28/08/65,23/02/98,32,20-40,30-40,East,F,50,17/07/97,1,6000,Midlands,Gold,1,10,1
0005956803,U,13/12/51,23/02/98,46,40-60,40-50,S & S East,C,22,10/06/97,0,1200,South East,Silver,0,11,1
0005959098,M,29/05/61,23/02/98,36,20-40,30-40,London,D,34,21/01/93,3,0.01,South East,Tin,1,17,6
0005966256,,27/05/27,23/02/98,70,60-80,70-80,S West,C,23,15/02/94,0,1000,South West,Silver,0,5,5
0005967309,F,12/03/47,23/02/98,50,40-60,50-60,S & S East,,,01/06/90,0,0.01,South East,Tin,0,7,8
0005967546,M,12/01/53,23/02/98,,,,S West,E,41,02/04/96,0,12000,South West,Gold,0,1,2
0005968321,F,09/05/69,23/02/98,28,20-40,20-30,Wales & West,E,44,29/06/94,1,0.01,Midlands,Tin,1,11,4
0005969808,F,28/10/58,23/02/98,39,20-40,30-40,London,C,25,01/06/90,1,0.01,South East,Tin,1,16,8
0005969956,F,20/09/30,23/02/98,67,60-80,60-70,East,E,39,24/02/94,0,960,Midlands,Silver,0,13,4
0005970202,F,21/01/53,23/02/98,45,40-60,40-50,S & S East,E,37,01/03/91,0,0.01,South East,Tin,0,7,7
0005971411,M,15/06/33,23/02/98,64,60-80,60-70,London,F,48,30/03/93,0,17794.81,South East,Gold,0,8,5
0005976235,M,14/05/33,23/02/98,64,60-80,60-70,East,F,52,14/03/96,1,5000,Midlands,Silver,1,,2
0005976766,U,24/10/35,23/02/98,62,60-80,60-70,Midlands,F,50,19/10/95,0,6000,Midlands,Gold,0,8,3
0005986877,F,30/11/28,23/02/98,69,60-80,60-70,C Scotland,D,31,23/12/94,1,12000,Scottish,Gold,1,4,4
0005988446,F,13/09/49,23/02/98,48,40-60,40-50,London,E,44,24/11/92,0,20000,South East,Gold,0,4,6
0005988799,M,05/02/25,23/02/98,73,60-80,70-80,Midlands,D,33,15/02/84,0,290.85,Midlands,Silver,0,8,15
0005989132,F,28/01/58,23/02/98,40,40-60,40-50,London,B,12,05/10/94,0,0.01,South East,Tin,0,4,4
0005989574,F,18/04/32,23/02/98,65,60-80,60-70,London,B,10,29/06/81,0,18440.6,South East,Gold,0,6,17
0005989884,F,26/03/44,23/02/98,53,40-60,50-60,Wales & West,D,35,28/12/94,0,6000,Midlands,Gold,0,5,4
0005992729,M,02/06/35,23/02/98,,,,N East,E,37,01/06/90,1,0.01,North,Tin,1,5,8
0005999235,F,06/05/56,23/02/98,41,40-60,40-50,Midlands,E,37,01/02/90,1,0.01,Midlands,Tin,1,12,9
0005999715,U,13/12/61,23/02/98,36,20-40,30-40,N West,E,38,25/05/93,0,2750,North,Silver,0,8,5
0006001076,M,18/01/36,23/02/98,62,60-80,60-70,London,C,24,16/02/94,0,3600,South East,Silver,0,7,5
0006004288,F,13/04/18,23/02/98,,,,S & S East,B,13,28/05/96,1,6000,South East,Gold,1,5,2
0006004725,M,16/01/35,23/02/98,63,60-80,60-70,London,C,19,02/04/97,0,4000,South East,Silver,0,11,1
0006008089,U,05/10/25,23/02/98,72,60-80,70-80,Ulster,,,24/02/90,0,7000,Midlands,Gold,0,9,9
0006011799,F,14/10/22,23/02/98,75,60-80,70-80,London,A,03,01/06/90,0,0.01,South East,Tin,0,4,8
0006012175,,14/11/52,23/02/98,45,40-60,40-50,N West,F,47,01/02/90,0,0.03,North,Silver,0,4,9
0006018815,M,18/10/54,23/02/98,43,40-60,40-50,,F,47,25/08/94,1,1000,,Silver,1,10,4
0006020275,F,02/11/42,23/02/98,55,40-60,50-60,S West,F,51,25/09/96,0,6000,South West,Gold,0,3,2
0006021549,M,14/08/48,23/02/98,49,40-60,40-50,N West,F,52,25/08/94,0,0.01,North,Tin,0,3,4
0006026494,M,20/03/25,23/02/98,72,60-80,70-80,S & S East,D,30,27/09/94,0,29741.46,South East,Platinum,0,7,4
0006026699,F,16/04/24,23/02/98,73,60-80,70-80,Wales & West,B,06,21/06/93,0,1000,Midlands,Silver,0,8,5
0006029337,,16/04/37,23/02/98,,,,Midlands,F,52,19/05/94,0,2000,Midlands,Silver,0,7,4
0006032230,M,11/06/44,23/02/98,53,40-60,50-60,London,A,04,16/01/91,0,2200,South East,Silver,0,10,8
0006041922,F,04/06/56,23/02/98,41,40-60,40-50,N West,D,32,16/02/94,0,1000,North,Silver,0,9,5
0006042503,M,25/05/22,23/02/98,75,60-80,70-80,S & S East,C,16,01/01/90,0,0.01,South East,Tin,0,10,9
0006046819,F,13/06/36,23/02/98,61,60-80,60-70,London,E,40,02/01/91,0,12000,South East,Gold,0,11,8
0006048862,M,08/06/31,23/02/98,66,60-80,60-70,N West,B,08,29/03/90,0,2400,North,Silver,0,,8
0006050018,F,10/04/31,23/02/98,66,60-80,60-70,Midlands,C,16,10/06/93,0,1000,Midlands,Silver,0,12,5
0006082513,M,31/08/31,23/02/98,66,60-80,60-70,London,D,28,01/07/90,0,0.02,South East,Silver,0,,8
0006084923,,27/12/33,23/02/98,64,60-80,60-70,S & S East,D,27,20/10/97,0,10000,South East,Gold,0,5,1
0006085768,M,23/09/22,23/02/98,75,60-80,70-80,S & S East,B,08,12/04/94,0,6000,South East,Gold,0,6,4
0006091415,F,14/01/59,23/02/98,39,20-40,30-40,London,C,21,04/10/91,0,100,South East,Silver,0,8,7
0006094708,F,13/01/39,23/02/98,59,40-60,50-60,Midlands,B,05,09/03/94,0,0.01,Midlands,Tin,0,11,4
0006098312,M,13/04/24,23/02/98,73,60-80,70-80,East,C,23,20/08/68,0,5500,Midlands,Gold,0,8,30
0006107567,F,11/10/63,23/02/98,34,20-40,30-40,C Scotland,C,16,25/02/94,2,0.01,Scottish,Tin,1,19,4
0006109551,M,03/03/52,23/02/98,46,40-60,40-50,Midlands,C,25,13/11/93,0,0.01,Midlands,Tin,0,12,5
0006109713,F,26/06/67,23/02/98,30,20-40,30-40,London,F,48,30/12/93,0,0.01,South East,Tin,0,4,5
0006114245,F,23/10/31,23/02/98,66,60-80,60-70,N Scot,F,49,31/10/83,0,3000,Scottish,Silver,0,7,15
0006114776,F,21/02/46,23/02/98,52,40-60,50-60,N West,A,04,20/07/94,0,1400,North,Silver,0,6,4
0006124518,F,15/08/28,23/02/98,69,60-80,60-70,Wales & West,A,02,14/11/90,0,0.01,Midlands,Tin,0,9,8
0006134580,M,12/08/47,23/02/98,50,40-60,50-60,S & S East,B,14,05/06/84,0,3000,South East,Silver,0,13,14
0006149391,,12/08/29,23/02/98,68,60-80,60-70,London,C,25,27/05/87,0,4000,South East,Silver,0,9,11
0006161839,F,19/10/55,23/02/98,42,40-60,40-50,London,D,29,01/01/91,0,0.01,South East,Tin,0,4,8
0006170099,,03/03/31,23/02/98,67,60-80,60-70,East,B,06,07/01/91,0,2800,Midlands,Silver,0,8,8
0006174728,F,15/01/33,23/02/98,65,60-80,60-70,S & S East,E,44,15/12/93,0,0.01,South East,Tin,0,9,5
0006178057,M,09/06/68,23/02/98,29,20-40,20-30,S & S East,C,19,10/02/94,0,0.01,South East,Tin,0,9,5
0006178731,F,23/05/27,23/02/98,70,60-80,70-80,London,C,18,03/08/95,1,20517.9,South East,Platinum,1,8,3
0006183301,,12/12/52,23/02/98,45,40-60,40-50,Wales & West,B,10,14/07/89,0,100,Midlands,Silver,0,,9
0006185517,F,09/08/46,23/02/98,51,40-60,50-60,N East,B,08,01/05/90,0,0.01,North,Tin,0,3,8
0006185797,M,07/12/64,23/02/98,33,20-40,30-40,Yorkshire,F,52,04/07/97,0,100,North,Silver,0,6,1
0006188230,F,07/05/56,23/02/98,41,40-60,40-50,London,C,20,12/02/94,1,420,South East,Silver,1,11,5
0006194826,F,03/04/41,23/02/98,56,40-60,50-60,S & S East,F,46,08/06/93,0,6000,South East,Gold,0,11,5
0006199062,,22/07/47,23/02/98,50,40-60,50-60,Yorkshire,F,53,,0,6000,North,Gold,0,4,
0006201385,F,06/04/24,23/02/98,73,60-80,70-80,N West,F,52,04/03/92,0,3141.37,North,Silver,0,12,6
0006203361,F,21/02/62,23/02/98,36,20-40,30-40,London,C,21,01/08/90,0,0.01,South East,Tin,0,8,8
0006206530,F,31/08/47,23/02/98,50,40-60,50-60,,E,41,18/03/97,0,6000,,Gold,0,9,1
0006207642,U,27/07/57,23/02/98,40,40-60,40-50,N East,B,10,25/03/93,0,5000,North,Silver,0,8,5
0006208967,,12/06/35,23/02/98,62,60-80,60-70,S & S East,C,20,04/11/86,0,500,South East,Silver,0,9,12
0006209955,F,14/04/45,23/02/98,52,40-60,50-60,London,C,18,29/06/90,0,180,South East,Silver,0,7,8
0006210597,F,15/04/64,23/02/98,33,20-40,30-40,London,C,21,06/11/93,1,0.01,South East,Tin,1,14,5
0006211941,M,12/03/69,23/02/98,28,20-40,20-30,London,F,52,25/02/91,0,100,South East,Silver,0,8,7
0006212158,,06/02/47,23/02/98,51,40-60,50-60,London,C,22,13/01/94,0,0.01,South East,Tin,0,5,5
0006214770,M,13/01/47,23/02/98,51,40-60,50-60,S West,F,47,01/07/90,0,0.01,South West,Tin,0,10,8
0006216153,,09/05/29,23/02/98,68,60-80,60-70,N West,B,12,11/08/93,0,5000,North,Silver,0,9,5
0006216633,M,05/04/20,23/02/98,77,60-80,70-80,London,E,41,08/09/75,0,3000,South East,Silver,0,5,23
0006218792,F,07/02/22,23/02/98,76,60-80,70-80,S West,A,03,03/11/86,0,47096.27,South West,Platinum,0,11,12
0006220509,U,01/04/36,23/02/98,61,60-80,60-70,London,E,41,01/07/90,0,0.01,South East,Tin,0,11,8
0006220738,F,05/04/30,23/02/98,67,60-80,60-70,S & S East,C,19,29/04/96,0,6000,South East,Gold,0,9,2
0006221475,F,06/04/54,23/02/98,43,40-60,40-50,N West,F,53,30/09/93,1,0.01,North,Tin,1,5,5
0006223141,,09/02/60,23/02/98,38,20-40,30-40,London,F,48,04/05/94,1,0.01,South East,Tin,1,10,4
0006225136,M,05/04/23,23/02/98,74,60-80,70-80,C Scotland,F,51,03/12/93,1,7500,Scottish,Gold,1,13,5
0006227694,M,18/06/53,23/02/98,44,40-60,40-50,London,C,21,04/01/94,1,0.01,South East,Tin,1,13,5
0006228372,M,06/01/52,23/02/98,46,40-60,40-50,Midlands,D,32,20/01/94,0,0.01,Midlands,Tin,0,7,5
0006228690,,09/01/32,23/02/98,66,60-80,60-70,,B,06,21/01/97,0,6000,,Gold,0,9,2
0006229115,U,05/06/37,23/02/98,60,60-80,60-70,London,F,48,01/05/90,0,0.01,South East,Tin,0,,8
0006229492,,18/11/42,23/02/98,55,40-60,50-60,N West,F,53,20/07/93,0,3000,North,Silver,0,7,5
0006229603,F,15/02/45,23/02/98,53,40-60,50-60,C Scotland,D,32,15/12/93,2,3000,Scottish,Silver,1,12,5
0006230504,F,08/05/48,23/02/98,49,40-60,40-50,London,A,01,01/07/91,1,0.01,South East,Tin,1,10,7
0006230636,M,02/06/51,23/02/98,46,40-60,40-50,N West,C,22,02/08/88,1,50,North,Silver,1,8,10
0006230954,,03/04/30,23/02/98,67,60-80,60-70,S West,F,49,22/09/93,0,0.01,South West,Tin,0,17,5
0006231071,F,23/06/60,23/02/98,37,20-40,30-40,East,F,47,01/06/90,0,0.01,Midlands,Tin,0,10,8
0006234100,F,19/03/55,23/02/98,42,40-60,40-50,London,B,10,17/06/97,1,1800,South East,Silver,1,11,1
0006234860,M,11/12/70,23/02/98,27,20-40,20-30,Wales & West,C,24,31/05/94,0,1000,Midlands,Silver,0,14,4
0006235069,,05/07/47,23/02/98,50,40-60,50-60,Border,D,27,10/11/94,0,18000,Scottish,Gold,0,11,4
0006235298,,10/08/36,23/02/98,61,60-80,60-70,N West,D,32,01/11/90,0,1500,North,Silver,0,4,8
0006235735,F,28/05/41,23/02/98,56,40-60,50-60,London,A,03,07/02/91,0,3000,South East,Silver,0,9,8
0006239056,F,25/03/43,23/02/98,54,40-60,50-60,Yorkshire,F,53,20/04/94,0,0.01,North,Tin,0,14,4
0006239439,M,06/07/54,23/02/98,43,40-60,40-50,East,C,16,02/04/97,0,6000,Midlands,Gold,0,5,1
0006240569,F,27/06/45,23/02/98,52,40-60,50-60,Midlands,C,17,07/01/94,0,0.01,Midlands,Tin,0,11,5
0006240968,F,22/03/55,23/02/98,42,40-60,40-50,London,C,25,17/01/91,1,8800,South East,Gold,1,16,8
0006245129,M,20/04/43,23/02/98,54,40-60,50-60,N West,C,25,01/02/90,0,0.01,North,Tin,0,10,9
0006245471,F,17/03/37,23/02/98,60,60-80,60-70,East,B,14,22/11/93,0,5000,Midlands,Silver,0,7,5
0006246109,F,19/09/47,23/02/98,50,40-60,50-60,Wales & West,C,19,20/07/88,0,50,Midlands,Silver,0,9,10
0006246508,F,08/10/57,23/02/98,40,40-60,40-50,N Scot,C,23,24/03/95,0,17000,Scottish,Gold,0,4,3
0006258417,,16/11/48,23/02/98,49,40-60,40-50,London,E,41,01/05/90,0,0.01,South East,Tin,0,10,8
0006258581,F,17/08/43,23/02/98,54,40-60,50-60,Midlands,B,08,17/03/94,0,0.01,Midlands,Tin,0,6,4
0006259529,,18/10/24,23/02/98,73,60-80,70-80,London,B,10,15/04/97,0,6000,South East,Gold,0,10,1
0006260586,F,11/05/50,23/02/98,47,40-60,40-50,Midlands,D,33,06/04/94,0,0.01,Midlands,Tin,0,12,4
0006261140,,04/05/61,23/02/98,36,20-40,30-40,Wales & West,E,41,04/08/97,1,260,Midlands,Silver,1,11,1
0006264476,U,14/06/40,23/02/98,57,40-60,50-60,S & S East,C,24,19/03/96,0,6000,South East,Gold,0,8,2
0006265073,M,23/02/51,23/02/98,47,40-60,40-50,Wales & West,C,19,09/11/92,0,3000,Midlands,Silver,0,8,6
0006265545,M,20/01/56,23/02/98,42,40-60,40-50,London,A,04,19/11/97,0,6000,South East,Gold,0,10,1
0006266266,M,31/07/48,23/02/98,49,40-60,40-50,Midlands,D,32,18/11/93,0,1000.01,Midlands,Silver,0,8,5
0006266363,U,08/12/22,23/02/98,75,60-80,70-80,London,B,14,25/08/95,0,20371.85,South East,Platinum,0,12,3
0006266975,F,17/04/45,23/02/98,52,40-60,50-60,S & S East,A,04,01/06/90,2,0.02,South East,Silver,1,18,8
0006267106,F,30/10/29,23/02/98,68,60-80,60-70,Wales & West,A,04,18/10/95,0,3000,Midlands,Silver,0,7,3
0006269893,F,05/03/34,23/02/98,64,60-80,60-70,Midlands,B,14,13/04/93,0,5000,Midlands,Silver,0,10,5
0006271308,F,24/03/33,23/02/98,64,60-80,60-70,London,B,12,29/07/93,0,6107.64,South East,Gold,0,6,5
0006271812,F,07/05/60,23/02/98,37,20-40,30-40,S & S East,F,48,25/07/94,1,0.01,South East,Tin,1,6,4
0006273947,,31/08/40,23/02/98,57,40-60,50-60,Midlands,E,41,10/01/91,0,2000,Midlands,Silver,0,10,8
0006276563,,10/10/37,23/02/98,60,60-80,60-70,Midlands,C,18,21/04/97,0,6000,Midlands,Gold,0,10,1
0006283985,F,08/04/39,23/02/98,58,40-60,50-60,Midlands,A,02,21/08/69,0,6060.11,Midlands,Gold,0,15,29
0006284418,F,11/04/58,23/02/98,39,20-40,30-40,Wales & West,F,53,01/06/90,1,0.01,Midlands,Tin,1,,8
0006290124,,17/03/60,23/02/98,37,20-40,30-40,Midlands,C,19,11/05/93,0,6000,Midlands,Gold,0,8,5
0006291058,F,19/11/51,23/02/98,46,40-60,40-50,N West,C,23,25/04/95,0,4200,North,Silver,0,9,3
0006291538,F,29/08/74,23/02/98,23,20-40,20-30,Midlands,F,51,24/09/96,1,700,Midlands,Silver,1,11,2
0006291988,M,14/02/38,23/02/98,60,60-80,60-70,Midlands,E,37,15/10/87,0,300,Midlands,Silver,0,10,11
0006292313,,23/01/51,23/02/98,47,40-60,40-50,N Scot,B,15,25/02/94,0,2000,Scottish,Silver,0,5,4
0006292437,F,04/06/53,23/02/98,44,40-60,40-50,East,C,16,28/09/93,1,0.01,Midlands,Tin,1,8,5
0006293042,F,18/09/37,23/02/98,60,60-80,60-70,S & S East,D,33,17/02/86,0,7080.39,South East,Gold,0,10,13
0006293867,M,30/08/52,23/02/98,45,40-60,40-50,Midlands,F,51,,0,0.01,Midlands,Tin,0,7,
0006294146,U,05/07/27,23/02/98,70,60-80,70-80,Yorkshire,D,35,11/01/91,0,6000,North,Gold,0,8,8
0006294499,F,17/12/35,23/02/98,62,60-80,60-70,Wales & West,B,08,17/03/94,0,0.01,Midlands,Tin,0,7,4
0006302572,U,15/09/41,23/02/98,56,40-60,50-60,N West,C,18,28/05/91,0,1000,North,Silver,0,7,7
0006306128,M,15/10/47,23/02/98,50,40-60,50-60,S & S East,F,50,01/03/91,0,0.01,South East,Tin,0,5,7
0006306810,F,03/12/62,23/02/98,35,20-40,30-40,London,D,28,09/10/91,1,0.01,South East,Tin,1,,7
0006307299,M,14/08/43,23/02/98,54,40-60,50-60,Border,C,16,24/05/94,0,1000,Scottish,Silver,0,7,4
0006308937,F,24/01/61,23/02/98,37,20-40,30-40,Midlands,C,24,11/04/95,1,6000,Midlands,Gold,1,9,3
0006313558,F,09/08/55,23/02/98,42,40-60,40-50,S & S East,B,06,11/02/94,1,0.02,South East,Silver,1,10,5
0006313779,F,03/03/27,23/02/98,71,60-80,70-80,N West,B,10,13/10/76,0,42183.67,North,Platinum,0,7,22
0006326269,F,18/02/49,23/02/98,49,40-60,40-50,C Scotland,B,10,27/01/95,0,100,Scottish,Silver,0,12,4
